 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
"Less than $5,000",20.0,.,.,.,.,.,.,.,.,.,.,.,0.5,11.9,7.5,18.0,.,.,.,.,.,.,.,.,.,.,.,0.5,10.0,7.5,0.6,.,.,.,.,.,.,.,.,.,.,.,.,0.6,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$5,000 to $9,999",5.8,.,.,.,0.8,.,.,0.4,0.4,.,.,.,0.4,3.9,.,5.3,.,.,.,0.8,.,.,0.4,0.4,.,.,.,0.4,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$10,000 to $14,999",12.1,.,.,.,1.1,0.8,.,0.4,.,0.9,2.0,1.1,2.6,3.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.0,.,.,.,1.1,0.8,.,0.4,.,0.9,2.0,0.4,2.6,2.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.1,.,.,.,.,.,.,.,.,.,.,0.7,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$15,000 to $19,999",20.9,0.4,.,.,0.4,.,2.0,1.9,2.4,3.3,3.2,1.4,2.2,3.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.7,0.4,.,.,0.4,.,2.0,1.9,2.4,3.3,3.2,0.8,1.8,2.5,.,1.8,.,.,.,.,.,.,.,.,.,.,0.6,0.4,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.
"$20,000 to $24,999",20.6,.,.,1.2,2.3,1.2,2.2,2.2,1.2,5.9,1.0,0.7,1.6,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.2,.,.,1.2,2.3,1.2,2.2,2.2,0.8,5.9,0.5,0.7,1.2,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.9,.,.,.,.,.,.,.,0.4,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$25,000 to $29,999",28.5,.,.,0.4,2.0,3.3,2.6,2.3,1.1,3.3,6.9,2.0,2.6,1.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25.9,.,.,0.4,2.0,3.3,2.6,2.3,1.1,3.3,5.7,1.1,2.2,1.8,.,1.2,.,.,.,.,.,.,.,.,.,1.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$30,000 to $34,999",23.0,.,.,2.9,5.5,3.2,2.5,0.4,0.4,2.6,1.9,2.0,1.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21.8,.,.,2.9,5.5,3.2,2.5,0.4,0.4,1.8,1.9,1.5,1.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"$35,000 to $39,999",23.0,.,.,4.7,1.6,1.9,1.2,1.5,1.7,3.9,4.3,0.8,0.8,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21.9,.,.,4.7,1.6,1.2,1.2,1.5,1.7,3.5,4.3,0.8,0.8,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.7,.,.,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.
"$40,000 to $49,999",53.3,.,.,5.5,6.0,5.5,6.1,6.0,3.0,11.4,4.5,3.1,2.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50.3,.,.,5.5,5.9,4.8,5.3,6.0,3.0,11.0,4.1,3.1,1.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,.,.,.,0.4,.,.,.,.,.,0.7,.,.,.,.,0.7,.,.,.,.,.,.,.,.,.,0.8,.,.,.,.,.,0.8,.,.,.,.,.,.,.,1.0,.,.,.,0.1,.,.,.,.,.,0.4,.,0.4,.,.
"$50,000 to $59,999",44.4,.,0.4,7.5,4.2,5.3,5.3,7.9,5.5,5.7,1.8,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38.4,.,0.4,7.1,4.2,4.6,5.3,5.8,4.8,4.4,1.4,0.4,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,1.9,.,.,.,.,.,.,0.8,0.7,0.4,.,.,.,.,.,0.4,.,.,.,.,.,.,0.4,.,.,.,.,.,.,3.2,.,.,0.4,.,0.7,.,0.9,.,0.8,0.4,.,.,.,.
"$60,000 to $79,999",100.9,.,8.2,13.9,10.6,17.8,20.0,15.3,6.7,7.3,0.4,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,89.4,.,8.2,13.5,10.6,15.7,16.3,12.8,6.7,5.2,.,.,0.4,.,.,4.0,.,.,.,.,1.1,2.1,0.4,.,0.4,.,.,.,.,.,3.9,.,.,0.4,.,0.9,0.3,1.0,.,0.8,0.4,.,.,.,3.7,.,.,.,.,.,1.3,1.2,.,0.8,.,0.4,.,.,.
"$80,000 to $99,999",104.4,1.5,10.8,13.8,19.9,22.5,17.4,10.6,2.2,5.3,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.4,1.5,10.4,13.8,18.7,21.3,16.6,9.0,2.2,4.5,0.4,.,.,.,.,2.0,.,.,.,0.4,1.2,.,0.4,.,.,.,.,.,.,4.0,.,0.4,.,0.8,.,0.8,1.1,.,0.8,.,.,.,.,.
"$100,000 to $119,999",66.8,0.5,11.2,4.8,17.4,15.3,9.2,4.3,3.3,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62.9,0.5,10.6,4.8,16.6,14.4,8.7,3.9,2.5,0.4,0.4,.,.,.,4.0,.,0.6,.,0.8,0.9,0.4,0.5,0.8,.,.,.,.,.,.
"$120,000 or more",243.9,20.5,44.9,55.2,59.7,36.8,17.4,5.3,1.3,1.8,0.4,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,243.9,20.5,44.9,55.2,59.7,36.8,17.4,5.3,1.3,1.8,0.4,0.4,0.4,.,.
Median (dollars),"85,000.0","218,000.0","133,357.0","120,000.0","110,500.0","93,000.0","80,000.0","68,000.0","55,000.0","44,800.0","30,100.0","34,025.0","25,000.0","6,000.0", ,"1,200.0",.,.,.,"6,756.0",.,.,"5,000.0","8,000.0",.,.,.,"3,600.0","3,000.0", ,"15,500.0","15,000.0",.,.,"14,484.0","11,864.0","19,200.0","18,000.0","18,000.0","16,236.0","16,008.0","18,000.0","13,260.0","14,000.0",.,"25,000.0",.,.,"21,423.0","24,660.0","27,307.0","25,000.0","25,000.0","25,796.0","24,100.0","26,500.0","20,400.0","25,000.0","22,000.0",.,"34,800.0",.,.,"37,000.0","32,400.0","33,000.0","31,344.0","37,860.0","37,001.0","36,200.0","35,000.0","34,025.0","33,315.0",10.0,.,"44,560.0",.,.,"46,824.0","45,153.0","46,954.0","45,000.0","46,000.0","44,560.0","44,216.0","42,000.0","43,200.0","42,000.0","2,500.0",.,"52,724.0",.,"55,000.0","52,250.0","53,500.0","53,000.0","54,000.0","52,230.0","53,000.0","53,700.0","50,500.0","25,000.0",.,.,.,"68,325.0",.,"70,000.0","68,800.0","70,000.0","68,000.0","70,000.0","70,000.0","64,712.0","63,832.0",.,"25,000.0","64,100.0","10,000.0",.,"87,400.0","90,000.0","90,000.0","88,326.0","90,000.0","88,000.0","87,000.0","85,500.0","81,800.0","80,500.0","95,025.0",.,"20,000.0","8,000.0",.,"105,240.0","105,065.0","109,500.0","105,476.0","108,000.0","107,000.0","102,200.0","102,000.0","105,708.0","63,000.0","60,000.0",.,"27,752.0",.,"160,583.0","235,000.0","195,000.0","197,000.0","162,000.0","150,000.0","131,000.0","120,020.0","130,000.0","81,200.0","56,230.0","200,000.0","42,000.0","18,000.0",.
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Income Sources of Families and Primary Individuals2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Wages and salaries,588.1,20.3,63.6,87.9,110.4,95.6,71.1,48.7,21.8,33.5,14.4,5.9,6.8,8.1,.,2.8,.,.,.,.,.,.,.,0.4,.,.,.,.,2.4,.,6.5,0.4,.,.,.,.,.,1.4,0.9,.,1.0,0.4,.,2.5,.,19.2,.,.,0.4,0.8,0.4,1.8,1.4,0.4,5.1,3.3,1.3,2.2,2.0,.,19.4,.,.,2.9,2.9,1.5,1.7,0.8,0.8,3.2,4.0,0.3,0.8,0.4,.,34.9,.,.,2.7,3.0,2.7,4.4,3.9,1.7,9.3,2.8,2.6,1.7,.,.,28.5,.,.,4.8,2.1,2.8,3.7,5.3,4.1,4.9,0.8,.,.,.,.,76.1,.,6.3,7.8,10.2,14.6,14.4,11.6,6.4,3.1,.,0.9,0.4,0.4,.,93.7,1.5,7.0,10.7,17.1,22.4,17.8,9.8,3.3,2.8,0.4,.,0.4,0.4,.,66.7,0.5,10.2,4.8,16.3,15.6,9.1,5.6,2.1,1.2,0.8,.,0.5,.,240.3,17.8,40.0,53.9,57.8,35.6,18.2,9.0,1.7,3.8,1.2,0.4,0.8,.,.
  Wages and salaries were majority of income,524.0,17.8,54.1,73.1,100.9,86.8,66.1,43.9,20.5,31.4,12.1,5.2,4.8,7.3,.,2.8,.,.,.,.,.,.,.,0.4,.,.,.,.,2.4,.,5.5,0.4,.,.,.,.,.,0.8,0.9,.,1.0,0.4,.,2.0,.,13.5,.,.,.,0.8,0.4,1.0,0.4,.,4.7,2.3,0.6,1.8,1.5,.,15.1,.,.,1.9,1.3,1.2,1.3,0.8,0.8,3.2,3.6,0.3,0.4,0.4,.,28.9,.,.,1.6,2.3,2.7,4.0,2.7,1.4,8.5,2.3,2.6,0.9,.,.,23.4,.,.,3.1,1.2,2.0,3.7,4.9,3.7,4.4,0.4,.,.,.,.,68.9,.,5.5,6.4,9.0,12.8,13.2,11.1,6.4,3.1,.,0.9,.,0.4,.,86.2,0.8,6.1,8.0,16.7,20.8,17.4,9.0,3.3,2.8,0.4,.,0.4,0.4,.,61.5,0.5,8.5,4.4,14.3,15.2,8.7,5.2,2.1,1.2,0.8,.,0.5,.,218.2,16.1,33.9,47.7,55.4,31.8,16.8,9.0,1.7,3.4,1.2,0.4,0.8,.,.
    2 or more people each earned over 20 percent of wages and salaries,187.2,6.7,27.7,34.0,46.1,30.6,21.2,8.1,3.7,7.2,0.5,.,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.9,.,.,.,.,0.4,0.6,.,.,0.5,.,.,0.5,.,.,0.8,.,.,.,.,.,.,.,.,0.8,.,.,.,.,.,5.1,.,.,.,0.4,.,0.4,0.4,.,3.3,0.1,.,0.5,.,.,3.6,.,.,.,0.4,0.4,0.9,0.5,1.3,0.2,.,.,.,.,.,18.5,.,2.7,2.1,2.4,3.3,3.8,2.5,1.3,0.4,.,.,.,.,.,27.6,.,2.0,3.2,4.7,7.6,5.5,3.0,0.4,0.9,0.4,.,.,.,.,23.6,0.1,4.4,1.4,6.3,4.9,4.2,1.5,0.4,0.4,.,.,.,.,106.1,6.6,18.6,27.4,32.0,14.0,5.8,0.2,0.4,0.8,.,.,0.4,.,.
Self-employment,122.3,2.9,13.9,19.3,17.8,17.4,19.0,8.9,2.6,10.0,1.4,4.1,4.1,0.9,.,0.5,.,.,.,.,.,.,.,.,.,.,.,.,0.5,.,3.2,.,.,.,.,.,0.4,0.4,.,0.8,.,0.4,0.8,0.4,.,4.7,.,.,0.4,.,.,0.4,.,.,1.9,0.4,0.7,0.8,.,.,6.4,.,.,2.2,.,0.4,0.4,0.4,.,.,.,1.2,1.7,.,.,6.6,.,.,0.7,0.4,0.6,1.1,0.8,.,2.1,.,0.5,0.4,.,.,6.4,.,0.4,.,0.8,0.4,2.2,.,0.4,0.4,1.0,0.8,.,.,.,12.8,.,.,2.2,1.7,2.1,2.1,3.0,.,0.8,.,0.4,0.4,.,.,15.9,0.7,2.0,1.2,1.6,2.1,3.7,2.0,0.9,1.7,.,.,.,.,.,10.9,.,1.0,1.2,2.2,2.0,2.5,1.1,0.9,.,.,.,.,.,54.9,2.3,10.5,11.2,11.1,9.7,6.3,1.2,0.4,2.2,.,.,.,.,.
Interest,248.2,11.3,33.4,45.0,39.8,34.4,25.9,17.8,5.0,16.3,4.3,3.1,3.1,8.6,.,5.4,.,.,.,.,.,.,.,.,.,.,.,.,5.4,.,8.4,.,.,.,0.4,0.8,1.6,.,0.5,1.9,0.4,.,1.4,1.4,.,12.5,.,.,0.8,1.2,1.0,0.9,1.9,.,3.6,1.2,0.7,0.4,1.0,.,13.9,.,.,1.4,2.1,1.5,1.6,1.9,1.3,1.6,0.8,0.4,0.8,0.4,.,12.2,.,.,1.9,1.8,1.2,0.4,2.0,.,2.9,0.7,0.8,.,0.4,.,11.6,.,.,2.1,2.0,1.8,2.9,1.1,.,1.3,.,0.4,.,.,.,26.7,.,2.9,5.5,2.1,4.5,3.2,4.9,1.2,1.6,.,0.4,0.4,.,.,30.9,0.7,4.3,5.9,6.2,3.6,6.0,1.6,0.9,1.3,0.4,.,.,.,.,21.0,0.4,3.7,2.2,4.5,4.4,4.1,0.4,0.5,0.8,.,.,.,.,105.4,10.2,22.4,25.1,19.5,15.6,5.3,3.9,0.8,1.4,0.8,0.4,.,.,.
Dividends,155.9,10.4,24.1,32.5,26.7,19.5,12.8,10.1,4.9,7.0,3.3,1.6,1.3,1.7,.,1.2,.,.,.,.,.,.,.,.,.,.,.,.,1.2,.,3.2,.,.,.,.,.,0.4,.,0.8,0.6,0.4,0.4,0.4,.,.,3.8,.,.,.,0.4,0.4,0.4,0.8,.,0.8,0.8,.,.,0.1,.,9.2,.,.,1.8,2.3,0.4,0.4,0.8,1.3,0.4,1.1,0.4,0.4,.,.,4.9,.,.,0.4,0.5,.,0.4,0.4,0.4,1.6,0.7,.,.,0.4,.,7.5,.,.,2.1,1.7,1.3,0.8,1.2,.,.,.,0.4,.,.,.,18.0,.,2.3,3.7,0.8,2.8,3.0,2.8,1.2,0.9,.,.,0.4,.,.,13.5,.,3.0,2.0,3.0,2.0,1.5,2.0,.,.,.,.,.,.,.,15.9,0.4,4.9,1.3,3.8,2.2,2.5,.,0.4,0.4,.,.,.,.,78.7,10.0,13.8,21.3,14.2,10.3,3.4,2.1,0.8,2.2,0.4,0.4,.,.,.
Rental income,80.7,2.5,12.8,12.9,14.1,12.3,7.3,3.6,3.0,3.9,2.7,2.3,1.2,2.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.3,.,.,.,.,.,.,.,.,.,0.9,.,.,0.4,.,3.6,.,.,.,0.4,.,.,.,0.5,.,.,0.7,0.8,1.2,.,3.5,.,.,1.0,0.9,0.4,.,.,.,.,0.8,.,0.4,.,.,2.2,.,.,0.7,0.5,.,.,.,0.4,0.6,.,.,.,.,.,3.0,.,.,0.4,0.8,.,0.8,.,0.5,.,0.5,.,.,.,.,6.7,.,0.9,1.3,0.4,0.8,0.4,1.3,0.8,.,.,0.8,.,.,.,12.9,.,0.9,0.8,2.7,3.9,0.8,1.3,0.4,2.0,.,.,.,.,.,5.9,.,1.3,0.4,0.8,2.5,0.4,0.1,0.4,.,.,.,.,.,41.4,2.5,9.8,8.2,7.6,4.7,4.9,0.9,.,1.3,0.4,0.8,.,0.4,.
Social Security or Railroad Retirement,202.1,4.3,21.5,31.9,34.3,22.2,15.4,13.7,8.7,17.9,11.1,2.9,9.2,9.1,.,7.2,.,.,.,0.8,.,.,0.4,.,.,.,.,1.0,5.1,.,20.3,.,.,.,1.5,0.8,0.8,1.4,1.6,3.8,2.9,0.8,4.4,2.3,.,28.7,.,.,.,4.3,4.2,3.4,3.3,1.9,4.9,3.0,0.4,1.7,1.6,.,25.8,.,.,5.4,6.7,3.6,1.6,0.7,1.6,2.1,2.6,0.9,0.4,.,.,20.0,.,.,3.9,4.1,2.1,1.3,1.7,1.3,2.4,2.0,0.4,0.8,.,.,16.1,.,.,4.9,3.0,2.6,1.7,0.4,1.2,1.7,0.5,.,.,.,.,21.9,.,3.6,6.0,1.6,3.5,3.0,2.1,.,1.7,.,.,0.4,.,.,20.7,0.7,3.9,4.7,4.8,1.8,1.6,2.8,.,0.5,.,.,.,.,.,13.1,.,4.2,1.3,3.7,1.2,0.4,0.5,0.8,0.4,.,.,0.5,.,28.3,3.6,9.9,5.6,3.8,2.2,1.5,0.4,0.4,0.4,.,0.4,.,.,.
Retirement or survivor pensions,153.5,3.5,22.6,30.0,27.4,19.1,12.1,8.1,5.4,9.8,7.7,2.4,1.8,3.5,.,1.5,.,.,.,.,.,.,.,.,.,.,.,.,1.5,.,8.4,.,.,.,0.4,0.4,0.4,.,0.4,2.3,1.9,0.4,1.0,1.1,.,14.4,.,.,0.4,1.8,2.9,2.1,1.5,0.9,2.2,1.7,.,.,0.8,.,18.8,.,.,3.0,5.3,2.5,0.8,0.7,1.3,1.7,2.2,0.9,0.4,.,.,17.2,.,.,3.9,3.7,1.7,1.1,2.1,1.3,1.2,1.9,.,0.4,.,.,11.1,.,.,3.2,2.5,1.8,1.6,0.4,0.7,0.8,.,.,.,.,.,20.4,.,3.9,4.8,2.5,2.4,2.7,2.1,.,1.3,.,0.7,.,.,.,19.2,0.7,3.9,6.2,2.7,3.5,1.2,0.8,.,.,.,.,.,.,.,9.7,.,3.3,1.2,3.4,1.2,.,0.1,0.4,.,.,.,.,.,32.7,2.8,11.4,7.2,5.0,2.7,2.1,0.4,0.4,0.4,.,0.4,.,.,.
Supplementary Security Income (SSI),14.0,0.4,0.8,2.1,4.1,1.2,.,.,0.9,1.6,0.5,0.8,0.4,1.1,.,1.1,.,.,.,.,.,.,.,.,.,.,.,.,1.1,.,0.4,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,2.4,.,.,.,0.4,.,.,.,.,1.6,.,.,0.4,.,.,1.5,.,.,1.1,.,.,.,.,.,.,0.4,.,.,.,.,2.7,.,.,.,1.3,0.4,.,.,.,.,0.1,0.8,.,.,.,0.6,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,1.4,.,.,0.5,0.5,.,.,.,0.4,.,.,.,.,.,.,2.0,.,.,.,0.8,0.7,.,.,0.5,.,.,.,.,.,.,1.1,.,0.4,.,0.7,.,.,.,.,.,.,.,.,.,0.8,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.
Child support or alimony,22.1,.,0.4,3.6,4.4,1.7,2.1,2.2,1.2,3.4,.,0.7,0.8,1.5,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.0,.,.,.,.,.,.,.,.,0.4,.,0.7,0.4,0.4,.,1.7,.,.,.,.,.,0.4,.,.,0.4,.,.,0.4,0.4,.,0.8,.,.,0.4,.,.,.,.,.,0.4,.,.,.,.,.,4.3,.,.,0.4,.,.,.,1.4,1.2,1.3,.,.,.,.,.,2.0,.,0.4,.,0.8,0.4,.,.,.,0.4,.,.,.,.,.,2.9,.,.,.,1.1,0.8,0.8,0.1,.,.,.,.,.,.,.,2.0,.,.,.,1.2,0.4,0.4,.,.,.,.,.,.,.,5.8,.,.,2.8,1.4,.,0.4,0.7,.,0.4,.,.,.,.,.
Public assistance or public welfare,4.0,0.7,0.4,.,0.4,.,.,1.2,.,.,.,0.6,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,0.6,.,0.6,.,.,.,.,.,.,.,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,0.8,.,.,.,.,.,.,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.1,0.7,.,.,.,.,.,0.4,.,.,.,.,.,.,.,0.4,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Food stamp benefits,9.6,.,.,.,1.9,.,.,0.9,.,0.9,0.6,0.6,0.4,4.3,.,3.6,.,.,.,0.8,.,.,.,.,.,.,.,.,2.8,.,5.4,.,.,.,1.1,.,.,0.9,.,0.9,0.6,.,0.4,1.5,.,0.6,.,.,.,.,.,.,.,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
